
 ========================================
 Usage Information
 For: 23c9fdef9e2cca96434d1534b94995cc4d046bcf
 ========================================
 Meter Reading Information
 Type of readings: Electricity, Energy Consumption, Real energy in kilowatt-hours 
 ========================================
 Detailed Usage
 ========================================
 Start date: 2022-01-13 00:00 for 401 days
 ========================================
 Interval Blockdata for period starting:, 2022-01-13 00:00  for 401 days
 ========================================
 Energy consumption time period,Usage(Real energy in kilowatt-hours),Cost(US Dollar),Events occurred
 2023-02-15 00:00 to 2023-02-16 00:00,9.040,0.87,
 2023-02-16 00:00 to 2023-02-17 00:00,4.690,0.45,
 2023-02-17 00:00 to 2023-02-18 00:00,0.000,,
 
 ========================================
 Meter Reading Information
 Type of readings: Electricity, Energy Consumption, Real energy in kilowatts 
 ========================================
 Detailed Usage
 ========================================
 Start date: 2022-01-13 00:00 for 401 days
 ========================================
 Interval Blockdata for period starting:, 2022-01-13 00:00  for 401 days
 ========================================
 Energy consumption time period,Usage(Real energy in kilowatts),Events occurred
 2022-01-13 00:00 to 2022-01-14 00:00,1.121,,
 2022-01-14 00:00 to 2022-01-15 00:00,1.121,,
 2022-01-15 00:00 to 2022-01-16 00:00,0.941,,
 2022-01-16 00:00 to 2022-01-17 00:00,0.941,,
 2022-01-17 00:00 to 2022-01-18 00:00,0.890,,
 2022-01-18 00:00 to 2022-01-19 00:00,1.179,,
 2022-01-19 00:00 to 2022-01-20 00:00,1.179,,
 2022-01-20 00:00 to 2022-01-21 00:00,0.861,,
 2022-01-21 00:00 to 2022-01-22 00:00,0.705,,
 2022-01-22 00:00 to 2022-01-23 00:00,0.286,,
 2022-01-23 00:00 to 2022-01-24 00:00,3.001,,
 2022-01-24 00:00 to 2022-01-25 00:00,3.001,,
 2022-01-25 00:00 to 2022-01-26 00:00,2.940,,
 2022-01-26 00:00 to 2022-01-27 00:00,1.107,,
 2022-01-27 00:00 to 2022-01-28 00:00,0.967,,
 2022-01-28 00:00 to 2022-01-29 00:00,0.571,,
 2022-01-29 00:00 to 2022-01-30 00:00,0.604,,
 2022-01-30 00:00 to 2022-01-31 00:00,4.450,,
 2022-01-31 00:00 to 2022-02-01 00:00,4.450,,
 2022-02-01 00:00 to 2022-02-02 00:00,1.630,,
 2022-02-02 00:00 to 2022-02-03 00:00,1.630,,
 2022-02-03 00:00 to 2022-02-04 00:00,1.228,,
 2022-02-04 00:00 to 2022-02-05 00:00,0.490,,
 2022-02-05 00:00 to 2022-02-06 00:00,0.490,,
 2022-02-06 00:00 to 2022-02-07 00:00,4.524,,
 2022-02-07 00:00 to 2022-02-08 00:00,4.524,,
 2022-02-08 00:00 to 2022-02-09 00:00,3.658,,
 2022-02-09 00:00 to 2022-02-10 00:00,0.558,,
 2022-02-10 00:00 to 2022-02-11 00:00,0.571,,
 2022-02-11 00:00 to 2022-02-12 00:00,0.571,,
 2022-02-12 00:00 to 2022-02-13 00:00,0.585,,
 2022-02-13 00:00 to 2022-02-14 00:00,0.585,,
 2022-02-14 00:00 to 2022-02-15 00:00,2.239,,
 2022-02-15 00:00 to 2022-02-16 00:00,2.239,,
 2022-02-16 00:00 to 2022-02-17 00:00,1.003,,
 2022-02-17 00:00 to 2022-02-18 00:00,1.006,,
 2022-02-18 00:00 to 2022-02-19 00:00,1.006,,
 2022-02-19 00:00 to 2022-02-20 00:00,0.416,,
 2022-02-20 00:00 to 2022-02-21 00:00,2.394,,
 2022-02-21 00:00 to 2022-02-22 00:00,2.406,,
 2022-02-22 00:00 to 2022-02-23 00:00,2.406,,
 2022-02-23 00:00 to 2022-02-24 00:00,1.096,,
 2022-02-24 00:00 to 2022-02-25 00:00,1.842,,
 2022-02-25 00:00 to 2022-02-26 00:00,1.842,,
 2022-02-26 00:00 to 2022-02-27 00:00,0.560,,
 2022-02-27 00:00 to 2022-02-28 00:00,1.253,,
 2022-02-28 00:00 to 2022-03-01 00:00,1.253,,
 2022-03-01 00:00 to 2022-03-02 00:00,1.249,,
 2022-03-02 00:00 to 2022-03-03 00:00,1.249,,
 2022-03-03 00:00 to 2022-03-04 00:00,2.246,,
 2022-03-04 00:00 to 2022-03-05 00:00,2.246,,
 2022-03-05 00:00 to 2022-03-06 00:00,0.836,,
 2022-03-06 00:00 to 2022-03-07 00:00,5.178,,
 2022-03-07 00:00 to 2022-03-08 00:00,5.178,,
 2022-03-08 00:00 to 2022-03-09 00:00,1.022,,
 2022-03-09 00:00 to 2022-03-10 00:00,0.901,,
 2022-03-10 00:00 to 2022-03-11 00:00,0.624,,
 2022-03-11 00:00 to 2022-03-12 00:00,0.624,,
 2022-03-12 00:00 to 2022-03-13 00:00,0.410,,
 2022-03-13 00:00 to 2022-03-14 01:00,3.111,,
 2022-03-14 00:00 to 2022-03-15 00:00,3.111,,
 2022-03-15 00:00 to 2022-03-16 00:00,1.275,,
 2022-03-16 00:00 to 2022-03-17 00:00,1.610,,
 2022-03-17 00:00 to 2022-03-18 00:00,1.610,,
 2022-03-18 00:00 to 2022-03-19 00:00,0.652,,
 2022-03-19 00:00 to 2022-03-20 00:00,0.618,,
 2022-03-20 00:00 to 2022-03-21 00:00,1.364,,
 2022-03-21 00:00 to 2022-03-22 00:00,1.364,,
 2022-03-22 00:00 to 2022-03-23 00:00,1.223,,
 2022-03-23 00:00 to 2022-03-24 00:00,0.814,,
 2022-03-24 00:00 to 2022-03-25 00:00,1.344,,
 2022-03-25 00:00 to 2022-03-26 00:00,1.344,,
 2022-03-26 00:00 to 2022-03-27 00:00,0.762,,
 2022-03-27 00:00 to 2022-03-28 00:00,4.082,,
 2022-03-28 00:00 to 2022-03-29 00:00,4.082,,
 2022-03-29 00:00 to 2022-03-30 00:00,1.557,,
 2022-03-30 00:00 to 2022-03-31 00:00,1.557,,
 2022-03-31 00:00 to 2022-04-01 00:00,1.124,,
 2022-04-01 00:00 to 2022-04-02 00:00,0.751,,
 2022-04-02 00:00 to 2022-04-03 00:00,0.773,,
 2022-04-03 00:00 to 2022-04-04 00:00,0.975,,
 2022-04-04 00:00 to 2022-04-05 00:00,1.183,,
 2022-04-05 00:00 to 2022-04-06 00:00,1.313,,
 2022-04-06 00:00 to 2022-04-07 00:00,1.313,,
 2022-04-07 00:00 to 2022-04-08 00:00,0.784,,
 2022-04-08 00:00 to 2022-04-09 00:00,0.312,,
 2022-04-09 00:00 to 2022-04-10 00:00,0.853,,
 2022-04-10 00:00 to 2022-04-11 00:00,0.853,,
 2022-04-11 00:00 to 2022-04-12 00:00,1.321,,
 2022-04-12 00:00 to 2022-04-13 00:00,1.729,,
 2022-04-13 00:00 to 2022-04-14 00:00,1.729,,
 2022-04-14 00:00 to 2022-04-15 00:00,1.185,,
 2022-04-15 00:00 to 2022-04-16 00:00,1.109,,
 2022-04-16 00:00 to 2022-04-17 00:00,1.109,,
 2022-04-17 00:00 to 2022-04-18 00:00,1.128,,
 2022-04-18 00:00 to 2022-04-19 00:00,1.152,,
 2022-04-19 00:00 to 2022-04-20 00:00,1.564,,
 2022-04-20 00:00 to 2022-04-21 00:00,1.564,,
 2022-04-21 00:00 to 2022-04-22 00:00,1.514,,
 2022-04-22 00:00 to 2022-04-23 00:00,1.514,,
 2022-04-23 00:00 to 2022-04-24 00:00,0.849,,
 2022-04-24 00:00 to 2022-04-25 00:00,1.256,,
 2022-04-25 00:00 to 2022-04-26 00:00,1.256,,
 2022-04-26 00:00 to 2022-04-27 00:00,1.202,,
 2022-04-27 00:00 to 2022-04-28 00:00,1.121,,
 2022-04-28 00:00 to 2022-04-29 00:00,1.804,,
 2022-04-29 00:00 to 2022-04-30 00:00,1.804,,
 2022-04-30 00:00 to 2022-05-01 00:00,1.464,,
 2022-05-01 00:00 to 2022-05-02 00:00,1.464,,
 2022-05-02 00:00 to 2022-05-03 00:00,1.460,,
 2022-05-03 00:00 to 2022-05-04 00:00,1.632,,
 2022-05-04 00:00 to 2022-05-05 00:00,3.617,,
 2022-05-05 00:00 to 2022-05-06 00:00,3.617,,
 2022-05-06 00:00 to 2022-05-07 00:00,1.119,,
 2022-05-07 00:00 to 2022-05-08 00:00,1.741,,
 2022-05-08 00:00 to 2022-05-09 00:00,1.741,,
 2022-05-09 00:00 to 2022-05-10 00:00,1.662,,
 2022-05-10 00:00 to 2022-05-11 00:00,2.206,,
 2022-05-11 00:00 to 2022-05-12 00:00,2.206,,
 2022-05-12 00:00 to 2022-05-13 00:00,1.630,,
 2022-05-13 00:00 to 2022-05-14 00:00,1.448,,
 2022-05-14 00:00 to 2022-05-15 00:00,0.990,,
 2022-05-15 00:00 to 2022-05-16 00:00,4.310,,
 2022-05-16 00:00 to 2022-05-17 00:00,4.310,,
 2022-05-17 00:00 to 2022-05-18 00:00,5.456,,
 2022-05-18 00:00 to 2022-05-19 00:00,5.456,,
 2022-05-19 00:00 to 2022-05-20 00:00,2.437,,
 2022-05-20 00:00 to 2022-05-21 00:00,2.476,,
 2022-05-21 00:00 to 2022-05-22 00:00,2.476,,
 2022-05-22 00:00 to 2022-05-23 00:00,1.731,,
 2022-05-23 00:00 to 2022-05-24 00:00,1.640,,
 2022-05-24 00:00 to 2022-05-25 00:00,5.951,,
 2022-05-25 00:00 to 2022-05-26 00:00,5.951,,
 2022-05-26 00:00 to 2022-05-27 00:00,1.542,,
 2022-05-27 00:00 to 2022-05-28 00:00,2.102,,
 2022-05-28 00:00 to 2022-05-29 00:00,2.102,,
 2022-05-29 00:00 to 2022-05-30 00:00,1.285,,
 2022-05-30 00:00 to 2022-05-31 00:00,1.928,,
 2022-05-31 00:00 to 2022-06-01 00:00,1.928,,
 2022-06-01 00:00 to 2022-06-02 00:00,1.995,,
 2022-06-02 00:00 to 2022-06-03 00:00,1.995,,
 2022-06-03 00:00 to 2022-06-04 00:00,1.900,,
 2022-06-04 00:00 to 2022-06-05 00:00,1.744,,
 2022-06-05 00:00 to 2022-06-06 00:00,1.681,,
 2022-06-06 00:00 to 2022-06-07 00:00,1.681,,
 2022-06-07 00:00 to 2022-06-08 00:00,1.829,,
 2022-06-08 00:00 to 2022-06-09 00:00,2.468,,
 2022-06-09 00:00 to 2022-06-10 00:00,2.468,,
 2022-06-10 00:00 to 2022-06-11 00:00,1.783,,
 2022-06-11 00:00 to 2022-06-12 00:00,2.121,,
 2022-06-12 00:00 to 2022-06-13 00:00,2.121,,
 2022-06-13 00:00 to 2022-06-14 00:00,1.801,,
 2022-06-14 00:00 to 2022-06-15 00:00,2.132,,
 2022-06-15 00:00 to 2022-06-16 00:00,2.487,,
 2022-06-16 00:00 to 2022-06-17 00:00,2.487,,
 2022-06-17 00:00 to 2022-06-18 00:00,0.909,,
 2022-06-18 00:00 to 2022-06-19 00:00,0.901,,
 2022-06-19 00:00 to 2022-06-20 00:00,1.881,,
 2022-06-20 00:00 to 2022-06-21 00:00,1.898,,
 2022-06-21 00:00 to 2022-06-22 00:00,1.898,,
 2022-06-22 00:00 to 2022-06-23 00:00,1.887,,
 2022-06-23 00:00 to 2022-06-24 00:00,1.895,,
 2022-06-24 00:00 to 2022-06-25 00:00,1.963,,
 2022-06-25 00:00 to 2022-06-26 00:00,1.963,,
 2022-06-26 00:00 to 2022-06-27 00:00,1.852,,
 2022-06-27 00:00 to 2022-06-28 00:00,1.462,,
 2022-06-28 00:00 to 2022-06-29 00:00,2.449,,
 2022-06-29 00:00 to 2022-06-30 00:00,2.449,,
 2022-06-30 00:00 to 2022-07-01 00:00,1.740,,
 2022-07-01 00:00 to 2022-07-02 00:00,1.684,,
 2022-07-02 00:00 to 2022-07-03 00:00,1.851,,
 2022-07-03 00:00 to 2022-07-04 00:00,2.043,,
 2022-07-04 00:00 to 2022-07-05 00:00,4.356,,
 2022-07-05 00:00 to 2022-07-06 00:00,4.356,,
 2022-07-06 00:00 to 2022-07-07 00:00,1.799,,
 2022-07-07 00:00 to 2022-07-08 00:00,1.817,,
 2022-07-08 00:00 to 2022-07-09 00:00,1.817,,
 2022-07-09 00:00 to 2022-07-10 00:00,2.572,,
 2022-07-10 00:00 to 2022-07-11 00:00,2.572,,
 2022-07-11 00:00 to 2022-07-12 00:00,2.353,,
 2022-07-12 00:00 to 2022-07-13 00:00,2.353,,
 2022-07-13 00:00 to 2022-07-14 00:00,2.006,,
 2022-07-14 00:00 to 2022-07-15 00:00,2.006,,
 2022-07-15 00:00 to 2022-07-16 00:00,2.363,,
 2022-07-16 00:00 to 2022-07-17 00:00,2.363,,
 2022-07-17 00:00 to 2022-07-18 00:00,4.852,,
 2022-07-18 00:00 to 2022-07-19 00:00,4.852,,
 2022-07-19 00:00 to 2022-07-20 00:00,2.654,,
 2022-07-20 00:00 to 2022-07-21 00:00,2.654,,
 2022-07-21 00:00 to 2022-07-22 00:00,1.849,,
 2022-07-22 00:00 to 2022-07-23 00:00,1.863,,
 2022-07-23 00:00 to 2022-07-24 00:00,1.863,,
 2022-07-24 00:00 to 2022-07-25 00:00,1.819,,
 2022-07-25 00:00 to 2022-07-26 00:00,1.819,,
 2022-07-26 00:00 to 2022-07-27 00:00,1.916,,
 2022-07-27 00:00 to 2022-07-28 00:00,1.916,,
 2022-07-28 00:00 to 2022-07-29 00:00,2.000,,
 2022-07-29 00:00 to 2022-07-30 00:00,2.000,,
 2022-07-30 00:00 to 2022-07-31 00:00,2.392,,
 2022-07-31 00:00 to 2022-08-01 00:00,4.878,,
 2022-08-01 00:00 to 2022-08-02 00:00,4.878,,
 2022-08-02 00:00 to 2022-08-03 00:00,2.225,,
 2022-08-03 00:00 to 2022-08-04 00:00,2.225,,
 2022-08-04 00:00 to 2022-08-05 00:00,2.245,,
 2022-08-05 00:00 to 2022-08-06 00:00,2.245,,
 2022-08-06 00:00 to 2022-08-07 00:00,1.872,,
 2022-08-07 00:00 to 2022-08-08 00:00,2.502,,
 2022-08-08 00:00 to 2022-08-09 00:00,2.502,,
 2022-08-09 00:00 to 2022-08-10 00:00,2.357,,
 2022-08-10 00:00 to 2022-08-11 00:00,2.026,,
 2022-08-11 00:00 to 2022-08-12 00:00,2.916,,
 2022-08-12 00:00 to 2022-08-13 00:00,2.916,,
 2022-08-13 00:00 to 2022-08-14 00:00,1.701,,
 2022-08-14 00:00 to 2022-08-15 00:00,1.574,,
 2022-08-15 00:00 to 2022-08-16 00:00,1.777,,
 2022-08-16 00:00 to 2022-08-17 00:00,1.777,,
 2022-08-17 00:00 to 2022-08-18 00:00,1.846,,
 2022-08-18 00:00 to 2022-08-19 00:00,2.326,,
 2022-08-19 00:00 to 2022-08-20 00:00,2.326,,
 2022-08-20 00:00 to 2022-08-21 00:00,1.217,,
 2022-08-21 00:00 to 2022-08-22 00:00,1.437,,
 2022-08-22 00:00 to 2022-08-23 00:00,1.669,,
 2022-08-23 00:00 to 2022-08-24 00:00,1.694,,
 2022-08-24 00:00 to 2022-08-25 00:00,1.709,,
 2022-08-25 00:00 to 2022-08-26 00:00,1.751,,
 2022-08-26 00:00 to 2022-08-27 00:00,1.751,,
 2022-08-27 00:00 to 2022-08-28 00:00,2.846,,
 2022-08-28 00:00 to 2022-08-29 00:00,3.439,,
 2022-08-29 00:00 to 2022-08-30 00:00,3.439,,
 2022-08-30 00:00 to 2022-08-31 00:00,1.632,,
 2022-08-31 00:00 to 2022-09-01 00:00,1.295,,
 2022-09-01 00:00 to 2022-09-02 00:00,1.778,,
 2022-09-02 00:00 to 2022-09-03 00:00,1.778,,
 2022-09-03 00:00 to 2022-09-04 00:00,1.408,,
 2022-09-04 00:00 to 2022-09-05 00:00,1.071,,
 2022-09-05 00:00 to 2022-09-06 00:00,5.506,,
 2022-09-06 00:00 to 2022-09-07 00:00,5.506,,
 2022-09-07 00:00 to 2022-09-08 00:00,2.107,,
 2022-09-08 00:00 to 2022-09-09 00:00,1.464,,
 2022-09-09 00:00 to 2022-09-10 00:00,1.464,,
 2022-09-10 00:00 to 2022-09-11 00:00,0.848,,
 2022-09-11 00:00 to 2022-09-12 00:00,0.814,,
 2022-09-12 00:00 to 2022-09-13 00:00,1.357,,
 2022-09-13 00:00 to 2022-09-14 00:00,3.956,,
 2022-09-14 00:00 to 2022-09-15 00:00,3.956,,
 2022-09-15 00:00 to 2022-09-16 00:00,1.191,,
 2022-09-16 00:00 to 2022-09-17 00:00,1.174,,
 2022-09-17 00:00 to 2022-09-18 00:00,1.666,,
 2022-09-18 00:00 to 2022-09-19 00:00,3.495,,
 2022-09-19 00:00 to 2022-09-20 00:00,3.495,,
 2022-09-20 00:00 to 2022-09-21 00:00,3.355,,
 2022-09-21 00:00 to 2022-09-22 00:00,1.595,,
 2022-09-22 00:00 to 2022-09-23 00:00,2.068,,
 2022-09-23 00:00 to 2022-09-24 00:00,2.068,,
 2022-09-24 00:00 to 2022-09-25 00:00,4.369,,
 2022-09-25 00:00 to 2022-09-26 00:00,4.369,,
 2022-09-26 00:00 to 2022-09-27 00:00,1.544,,
 2022-09-27 00:00 to 2022-09-28 00:00,1.544,,
 2022-09-28 00:00 to 2022-09-29 00:00,1.328,,
 2022-09-29 00:00 to 2022-09-30 00:00,1.183,,
 2022-09-30 00:00 to 2022-10-01 00:00,1.107,,
 2022-10-01 00:00 to 2022-10-02 00:00,1.033,,
 2022-10-02 00:00 to 2022-10-03 00:00,1.509,,
 2022-10-03 00:00 to 2022-10-04 00:00,1.527,,
 2022-10-04 00:00 to 2022-10-05 00:00,1.989,,
 2022-10-05 00:00 to 2022-10-06 00:00,2.771,,
 2022-10-06 00:00 to 2022-10-07 00:00,2.771,,
 2022-10-07 00:00 to 2022-10-08 00:00,0.980,,
 2022-10-08 00:00 to 2022-10-09 00:00,6.175,,
 2022-10-09 00:00 to 2022-10-10 00:00,6.175,,
 2022-10-10 00:00 to 2022-10-11 00:00,1.692,,
 2022-10-11 00:00 to 2022-10-12 00:00,1.692,,
 2022-10-12 00:00 to 2022-10-13 00:00,1.166,,
 2022-10-13 00:00 to 2022-10-14 00:00,1.166,,
 2022-10-14 00:00 to 2022-10-15 00:00,0.973,,
 2022-10-15 00:00 to 2022-10-16 00:00,0.973,,
 2022-10-16 00:00 to 2022-10-17 00:00,1.092,,
 2022-10-17 00:00 to 2022-10-18 00:00,1.092,,
 2022-10-18 00:00 to 2022-10-19 00:00,0.281,,
 2022-10-19 00:00 to 2022-10-20 00:00,0.973,,
 2022-10-20 00:00 to 2022-10-21 00:00,0.973,,
 2022-10-21 00:00 to 2022-10-22 00:00,0.214,,
 2022-10-22 00:00 to 2022-10-23 00:00,0.740,,
 2022-10-23 00:00 to 2022-10-24 00:00,3.322,,
 2022-10-24 00:00 to 2022-10-25 00:00,3.322,,
 2022-10-25 00:00 to 2022-10-26 00:00,1.391,,
 2022-10-26 00:00 to 2022-10-27 00:00,1.231,,
 2022-10-27 00:00 to 2022-10-28 00:00,1.920,,
 2022-10-28 00:00 to 2022-10-29 00:00,1.920,,
 2022-10-29 00:00 to 2022-10-30 00:00,0.287,,
 2022-10-30 00:00 to 2022-10-31 00:00,0.971,,
 2022-10-31 00:00 to 2022-11-01 00:00,1.054,,
 2022-11-01 00:00 to 2022-11-02 00:00,1.066,,
 2022-11-02 00:00 to 2022-11-03 00:00,1.188,,
 2022-11-03 00:00 to 2022-11-04 00:00,1.188,,
 2022-11-04 00:00 to 2022-11-05 00:00,0.912,,
 2022-11-05 00:00 to 2022-11-06 00:00,0.847,,
 2022-11-06 00:00 to 2022-11-06 23:00,6.006,,
 2022-11-07 00:00 to 2022-11-08 00:00,6.006,,
 2022-11-08 00:00 to 2022-11-09 00:00,1.620,,
 2022-11-09 00:00 to 2022-11-10 00:00,2.041,,
 2022-11-10 00:00 to 2022-11-11 00:00,2.041,,
 2022-11-11 00:00 to 2022-11-12 00:00,1.213,,
 2022-11-12 00:00 to 2022-11-13 00:00,1.213,,
 2022-11-13 00:00 to 2022-11-14 00:00,0.351,,
 2022-11-14 00:00 to 2022-11-15 00:00,4.043,,
 2022-11-15 00:00 to 2022-11-16 00:00,4.043,,
 2022-11-16 00:00 to 2022-11-17 00:00,1.642,,
 2022-11-17 00:00 to 2022-11-18 00:00,1.157,,
 2022-11-18 00:00 to 2022-11-19 00:00,1.203,,
 2022-11-19 00:00 to 2022-11-20 00:00,1.203,,
 2022-11-20 00:00 to 2022-11-21 00:00,2.944,,
 2022-11-21 00:00 to 2022-11-22 00:00,2.944,,
 2022-11-22 00:00 to 2022-11-23 00:00,1.818,,
 2022-11-23 00:00 to 2022-11-24 00:00,1.818,,
 2022-11-24 00:00 to 2022-11-25 00:00,0.352,,
 2022-11-25 00:00 to 2022-11-26 00:00,0.469,,
 2022-11-26 00:00 to 2022-11-27 00:00,0.469,,
 2022-11-27 00:00 to 2022-11-28 00:00,0.339,,
 2022-11-28 00:00 to 2022-11-29 00:00,0.472,,
 2022-11-29 00:00 to 2022-11-30 00:00,1.104,,
 2022-11-30 00:00 to 2022-12-01 00:00,1.104,,
 2022-12-01 00:00 to 2022-12-02 00:00,0.330,,
 2022-12-02 00:00 to 2022-12-03 00:00,0.507,,
 2022-12-03 00:00 to 2022-12-04 00:00,0.845,,
 2022-12-04 00:00 to 2022-12-05 00:00,5.491,,
 2022-12-05 00:00 to 2022-12-06 00:00,5.491,,
 2022-12-06 00:00 to 2022-12-07 00:00,1.811,,
 2022-12-07 00:00 to 2022-12-08 00:00,1.811,,
 2022-12-08 00:00 to 2022-12-09 00:00,1.556,,
 2022-12-09 00:00 to 2022-12-10 00:00,1.556,,
 2022-12-10 00:00 to 2022-12-11 00:00,1.530,,
 2022-12-11 00:00 to 2022-12-12 00:00,4.014,,
 2022-12-12 00:00 to 2022-12-13 00:00,4.014,,
 2022-12-13 00:00 to 2022-12-14 00:00,1.336,,
 2022-12-14 00:00 to 2022-12-15 00:00,1.311,,
 2022-12-15 00:00 to 2022-12-16 00:00,0.844,,
 2022-12-16 00:00 to 2022-12-17 00:00,0.400,,
 2022-12-17 00:00 to 2022-12-18 00:00,0.406,,
 2022-12-18 00:00 to 2022-12-19 00:00,3.013,,
 2022-12-19 00:00 to 2022-12-20 00:00,3.013,,
 2022-12-20 00:00 to 2022-12-21 00:00,0.410,,
 2022-12-21 00:00 to 2022-12-22 00:00,1.110,,
 2022-12-22 00:00 to 2022-12-23 00:00,4.088,,
 2022-12-23 00:00 to 2022-12-24 00:00,4.088,,
 2022-12-24 00:00 to 2022-12-25 00:00,0.414,,
 2022-12-25 00:00 to 2022-12-26 00:00,0.404,,
 2022-12-26 00:00 to 2022-12-27 00:00,0.491,,
 2022-12-27 00:00 to 2022-12-28 00:00,0.491,,
 2022-12-28 00:00 to 2022-12-29 00:00,0.339,,
 2022-12-29 00:00 to 2022-12-30 00:00,0.897,,
 2022-12-30 00:00 to 2022-12-31 00:00,2.372,,
 2022-12-31 00:00 to 2023-01-01 00:00,2.372,,
 2023-01-01 00:00 to 2023-01-02 00:00,5.346,,
 2023-01-02 00:00 to 2023-01-03 00:00,5.716,,
 2023-01-03 00:00 to 2023-01-04 00:00,5.716,,
 2023-01-04 00:00 to 2023-01-05 00:00,4.264,,
 2023-01-05 00:00 to 2023-01-06 00:00,3.013,,
 2023-01-06 00:00 to 2023-01-07 00:00,3.013,,
 2023-01-07 00:00 to 2023-01-08 00:00,2.578,,
 2023-01-08 00:00 to 2023-01-09 00:00,5.139,,
 2023-01-09 00:00 to 2023-01-10 00:00,5.139,,
 2023-01-10 00:00 to 2023-01-11 00:00,2.990,,
 2023-01-11 00:00 to 2023-01-12 00:00,3.077,,
 2023-01-12 00:00 to 2023-01-13 00:00,4.554,,
 2023-01-13 00:00 to 2023-01-14 00:00,4.554,,
 2023-01-14 00:00 to 2023-01-15 00:00,5.351,,
 2023-01-15 00:00 to 2023-01-16 00:00,5.351,,
 2023-01-16 00:00 to 2023-01-17 00:00,2.524,,
 2023-01-17 00:00 to 2023-01-18 00:00,2.524,,
 2023-01-18 00:00 to 2023-01-19 00:00,3.523,,
 2023-01-19 00:00 to 2023-01-20 00:00,3.523,,
 2023-01-20 00:00 to 2023-01-21 00:00,1.319,,
 2023-01-21 00:00 to 2023-01-22 00:00,2.403,,
 2023-01-22 00:00 to 2023-01-23 00:00,4.785,,
 2023-01-23 00:00 to 2023-01-24 00:00,4.785,,
 2023-01-24 00:00 to 2023-01-25 00:00,2.727,,
 2023-01-25 00:00 to 2023-01-26 00:00,2.727,,
 2023-01-26 00:00 to 2023-01-27 00:00,3.097,,
 2023-01-27 00:00 to 2023-01-28 00:00,3.097,,
 2023-01-28 00:00 to 2023-01-29 00:00,1.903,,
 2023-01-29 00:00 to 2023-01-30 00:00,6.027,,
 2023-01-30 00:00 to 2023-01-31 00:00,6.027,,
 2023-01-31 00:00 to 2023-02-01 00:00,3.591,,
 2023-02-01 00:00 to 2023-02-02 00:00,3.591,,
 2023-02-02 00:00 to 2023-02-03 00:00,2.986,,
 2023-02-03 00:00 to 2023-02-04 00:00,3.168,,
 2023-02-04 00:00 to 2023-02-05 00:00,3.168,,
 2023-02-05 00:00 to 2023-02-06 00:00,4.933,,
 2023-02-06 00:00 to 2023-02-07 00:00,4.933,,
 2023-02-07 00:00 to 2023-02-08 00:00,2.653,,
 2023-02-08 00:00 to 2023-02-09 00:00,3.049,,
 2023-02-09 00:00 to 2023-02-10 00:00,3.272,,
 2023-02-10 00:00 to 2023-02-11 00:00,3.272,,
 2023-02-11 00:00 to 2023-02-12 00:00,2.971,,
 2023-02-12 00:00 to 2023-02-13 00:00,6.856,,
 2023-02-13 00:00 to 2023-02-14 00:00,6.856,,
 2023-02-14 00:00 to 2023-02-15 00:00,1.883,,
 2023-02-15 00:00 to 2023-02-16 00:00,4.556,,
 2023-02-16 00:00 to 2023-02-17 00:00,4.556,,
 2023-02-17 00:00 to 2023-02-18 00:00,1.323,,
  
